"","Reliability","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","named_natural_region","postcode","public_land","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"200","high reliability","Incidental","place",16977.97933,"road",0.151985955,"Y","N","Y","N","N",45,-0.00350000010803342,29,11,42,4,0.985099971294403,0.0131000000983477,1.28113293647766,9.92679500579834,345.652099609375,-13.0299997329712,69.652099609375,-3.65210008621216,4,16.3757991790771,141.60374,-34.5416
"201","high reliability","Birds Australia 2ha search","place",14393.64257,"road",0.002853288,"N","N","Y","Y","N",78.8357009887695,0.000899999984540045,73,9,42,18,1.6550999879837,0.0044999998062849,0.669396638870239,5.03752183914185,345.714599609375,-13.714599609375,68.714599609375,-2.89759993553162,4,16.1166000366211,141.43971,-34.40972
"202","high reliability","Camera - Surveillance/Remote","place",8695.894891,"watercourse_stream",0.02758677,"Y","N","Y","Y","N",126.610496520996,-0.0586000010371208,37,140,125,6,1.95529997348785,0.0113000003620982,0.174885049462318,3.71080732345581,264.743286132812,2.30060005187988,78.7008972167969,64.3255004882812,6,15.0340003967285,141.612279,-38.018757
"203","high reliability","General observations","place",5286.249304,"state_border",0.00432373,"N","N","Y","Y","N",43.9772987365723,0.000300000014249235,50,5,19,104,0.965499997138977,0.00329999998211861,0.808192431926727,5.11507654190064,359.890899658203,-19.6035995483398,80.5980987548828,-14.7442998886108,104,16.2381000518799,142.24159,-34.28789
"204","high reliability","Incidental","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"205","high reliability","Birds Australia 5km area search","place",20452.85931,"road",0.004109236,"Y","N","Y","Y","N",80.4000015258789,0.017400000244379,71,51,48,5,1.33150005340576,0.011400000192225,0.0968292504549027,2.09692287445068,334.5830078125,-10.0726003646851,65.2714996337891,3.72869992256165,5,15.5673999786377,142.05048,-35.58452
"206","high reliability","Birds Australia 2ha search","place",14393.64257,"road",0.002853288,"N","N","Y","Y","N",78.8357009887695,0.000899999984540045,73,9,42,18,1.6550999879837,0.0044999998062849,0.669396638870239,5.03752183914185,345.714599609375,-13.714599609375,68.714599609375,-2.89759993553162,4,16.1166000366211,141.43971,-34.40972
"207","high reliability","Birds Australia 2ha search","place",13850.35149,"road",0.107333416,"Y","N","Y","Y","N",49.5999984741211,-0.00490000005811453,9,8,42,4,1.15299999713898,0.0179999992251396,0.881783545017242,7.22752618789673,347.670593261719,-15.6370000839233,71.6293029785156,-5.63299989700317,4,16.7926998138428,141.55082,-34.50833
"208","high reliability","Incidental","place",19265.50611,"watercourse_channel",0.10659443,"Y","Y","Y","Y","N",78.7957992553711,0.023199999704957,70,49,48,5,1.3808000087738,0.00499999988824129,0.431916773319244,3.69077682495117,332.201599121094,-6.20160007476807,62.2304992675781,6.79839992523193,5,15.5079002380371,141.99862,-35.45589
"209","low reliability","Timed bird census","place",2038.092224,"watercourse_river",0.010225925,"Y","N","Y","Y","Y",93.4000015258789,-0.0299999993294477,62,98,124,106,1.93309998512268,0.0252000000327825,0.906804740428925,7.09212684631348,288.453094482422,27.3523006439209,73.4618988037109,48.6702003479004,106,16.6471996307373,145.73354,-37.99023
"210","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"211","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"212","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"213","high reliability","Birds Australia 500m area search","place",622.016119,"road",0.014871025,"N","N","Y","Y","N",145.800003051758,0.00139999995008111,42,50,97,18,1.24590003490448,0.00310000008903444,0.300770938396454,6.67835187911987,322.759704589844,-9.75969982147217,67.6691970825195,22.2402992248535,9,16.2362003326416,141.75774,-36.78462
"214","high reliability","Birds Australia 2ha search","place",15335.67391,"road",0.020735707,"Y","N","Y","Y","N",78.4000015258789,0.0137999998405576,29,11,42,18,1.65120005607605,0.00960000045597553,0.757199883460999,5.98470973968506,345.926391601562,-13.9264001846314,68.9119033813477,-2.92639994621277,4,15.9083995819092,141.43388,-34.42694
"215","high reliability","Incidental","place",18901.22946,"watercourse_channel",0.100210033,"Y","Y","Y","Y","N",75.6919021606445,-0.0516000017523766,71,51,48,5,1.32469999790192,0.0127999996766448,0.208772733807564,2.51238107681274,333.550598144531,-7.55060005187988,64.0350036621094,5.22149991989136,5,15.8660001754761,141.99913,-35.44881
"216","high reliability","Incidental","place",18901.22946,"watercourse_channel",0.100210033,"Y","Y","Y","Y","N",75.6919021606445,-0.0516000017523766,71,51,48,5,1.32469999790192,0.0127999996766448,0.208772733807564,2.51238107681274,333.550598144531,-7.55060005187988,64.0350036621094,5.22149991989136,5,15.8660001754761,141.99913,-35.44881
"217","high reliability","Incidental","place",18901.22946,"watercourse_channel",0.100210033,"Y","Y","Y","Y","N",75.6919021606445,-0.0516000017523766,71,51,48,5,1.32469999790192,0.0127999996766448,0.208772733807564,2.51238107681274,333.550598144531,-7.55060005187988,64.0350036621094,5.22149991989136,5,15.8660001754761,141.99913,-35.44881
"218","high reliability","Incidental","place",18540.38006,"watercourse_channel",0.092656747,"Y","Y","Y","Y","N",71.8000030517578,-0.00669999979436398,71,51,48,5,1.24259996414185,0.00540000014007092,0.200938150286674,3.57925939559936,334.9833984375,-8.98340034484863,65.9833984375,4.01660013198853,5,17.0205001831055,141.99902,-35.4398
"219","high reliability","Incidental","place",18540.38006,"watercourse_channel",0.092656747,"Y","Y","Y","Y","N",71.8000030517578,-0.00669999979436398,71,51,48,5,1.24259996414185,0.00540000014007092,0.200938150286674,3.57925939559936,334.9833984375,-8.98340034484863,65.9833984375,4.01660013198853,5,17.0205001831055,141.99902,-35.4398
"220","high reliability","Incidental","place",18540.38006,"watercourse_channel",0.092656747,"Y","Y","Y","Y","N",71.8000030517578,-0.00669999979436398,71,51,48,5,1.24259996414185,0.00540000014007092,0.200938150286674,3.57925939559936,334.9833984375,-8.98340034484863,65.9833984375,4.01660013198853,5,17.0205001831055,141.99902,-35.4398
"221","high reliability","Bird transect","place",477.7072602,"watercourse_channel",8.09e-05,"Y","N","Y","Y","N",71.4000015258789,0.021900000050664,71,51,37,5,1.34529995918274,0.00540000014007092,0.700805485248566,4.60606241226196,336.877685546875,-9.87030029296875,67.8703002929688,1.12870001792908,5,15.692099571228,142.0283,-35.142
"222","high reliability","Bird transect","place",477.7072602,"watercourse_channel",8.09e-05,"Y","N","Y","Y","N",71.4000015258789,0.021900000050664,71,51,37,5,1.34529995918274,0.00540000014007092,0.700805485248566,4.60606241226196,336.877685546875,-9.87030029296875,67.8703002929688,1.12870001792908,5,15.692099571228,142.0283,-35.142
"223","high reliability","Bird transect","place",477.7072602,"watercourse_channel",8.09e-05,"Y","N","Y","Y","N",71.4000015258789,0.021900000050664,71,51,37,5,1.34529995918274,0.00540000014007092,0.700805485248566,4.60606241226196,336.877685546875,-9.87030029296875,67.8703002929688,1.12870001792908,5,15.692099571228,142.0283,-35.142
"224","high reliability","General observations","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"225","high reliability","Timed bird census","place",14367.3831,"road",0.002402658,"Y","N","Y","Y","N",68.1999969482422,-0.0379999987781048,29,11,42,4,1.55250000953674,0.0154999997466803,0.304734289646149,3.76713180541992,346.050689697266,-13.0507001876831,68.0506973266602,-3.05069994926453,4,15.1731004714966,141.38919,-34.39637
"226","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289,141.44267,-34.42956
"227","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289,141.44267,-34.42956
"228","high reliability","Incidental","place",865.2589313,"watercourse_channel",0.00051342,"Y","N","Y","Y","N",66.2879028320313,0.00579999992623925,71,51,37,18,1.23080003261566,0.0108000002801418,0.718668460845947,5.86611890792847,339.092498779297,-11.1056995391846,69.1060028076172,-0.105700001120567,5,16.3038997650146,142.0313,-35.1447
"229","high reliability","Trap (unspecified)","place",18881.13061,"watercourse_channel",0.100793224,"Y","Y","Y","Y","N",72.5999984741211,-0.00249999994412065,71,51,48,5,1.25499999523163,0.00719999987632036,0.22264638543129,2.53599095344543,335.441802978516,-9.44180011749268,66.0943984985352,3.41529989242554,5,16.593900680542,142,-35.45
"230","low reliability","General observations","place",4942.090319,"road",0.007472724,"Y","N","Y","N","Y",151.199996948242,0.342599987983704,40,30,106,6,2.12910008430481,0.0599999986588955,0.434189200401306,12.0748062133789,294.498596191406,27.476900100708,80.7042999267578,61.4020004272461,6,15.3471002578735,145.542,-37.6967
"231","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"232","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289,141.44267,-34.42956
"233","high reliability","Birds Australia 500m area search","place",12321.35157,"road",0.054922982,"N","N","Y","N","N",64.5999984741211,-0.00139999995008111,73,9,42,18,1.49619996547699,0.00579999992623925,0.689835608005524,5.19982671737671,349.644287109375,-15.6443004608154,70.6443023681641,-5.64429998397827,4,16.214599609375,141.45194,-34.33122
"234","high reliability","Bird transect","place",14875.09195,"road",0.02293627,"Y","N","Y","Y","N",79.1999969482422,-0.00139999995008111,73,9,42,18,1.65750002861023,0.011400000192225,0.529991805553436,5.05410957336426,347.221313476562,-15.3267002105713,69.9845962524414,-4.37150001525879,4,16.6702995300293,141.44028,-34.4301
"235","high reliability","Trap (unspecified)","place",12772.92663,"road",0.100458092,"N","N","Y","Y","N",51.2000007629395,0.00249999994412065,71,51,42,5,1.1956000328064,0.00279999990016222,1.40302836894989,10.9327564239502,345.394989013672,-12.6000995635986,68.60009765625,-2.60010004043579,5,16.952600479126,141.55833,-34.5
"236","high reliability","General observations","place",9558.264189,"road",0.002384099,"N","N","Y","N","N",66.369499206543,-0.00350000010803342,71,51,42,18,1.54849994182587,0.00400000018998981,0.504032135009766,4.37720918655396,346.016998291016,-13.0170001983643,68.0169982910156,-3.01699995994568,5,15.7617998123169,141.33574,-34.36046
"237","high reliability","General observations","airport",33210.61256,"watercourse_channel",0.182656849,"Y","Y","Y","Y","N",47.5999984741211,0.0113000003620982,29,11,44,5,1.06749999523163,0.0015999999595806,0.385174304246902,4.28157186508179,343.114898681641,-12.114800453186,70.1147994995117,-2.11479997634888,5,15.9818000793457,141.89257,-34.77338
"238","high reliability","Bird transect","place",14125.8359,"road",0.012300326,"N","N","Y","N","N",64,0.00179999996908009,29,11,42,18,1.49489998817444,0.00260000000707805,0.5370814204216,4.57032537460327,346.656707763672,-13.6567001342773,68.6567001342773,-3.65669989585876,4,16.7401008605957,141.40418,-34.3888
"239","high reliability","Incidental","place",18680.46357,"road",0.141226756,"N","N","Y","Y","N",68,-0.035300001502037,71,51,42,5,1.51909995079041,0.0118000004440546,1.36852550506592,15.5941543579102,343.532012939453,-11.7502002716065,67.5318984985352,-1.53190004825592,5,16.0097999572754,141.52012,-34.54558
"240","low reliability","Timed bird census","place",5891.897928,"watercourse_stream",0.007467842,"Y","N","Y","Y","Y",122.599998474121,0.207599997520447,62,98,124,6,2.05789995193481,0.0118000004440546,0.214924469590187,6.00638771057129,286.18310546875,30.0811004638672,71.1913986206055,58.0934982299805,6,15.6382999420166,145.69067,-37.95832
"241","low reliability","Timed bird census","place",2456.55731,"road",0.011647895,"Y","N","Y","N","Y",139.800003051758,-0.0428000018000603,21,68,124,16,2.12330007553101,0.0527999997138977,0.871577262878418,6.60346603393555,278.817993164062,34.2778015136719,66.9653015136719,58.785701751709,6,12.0714998245239,145.69319,-38.00817
"242","low reliability","Timed bird census","place",4308.468516,"road",0.001605661,"Y","N","Y","Y","N",73.1999969482422,0.00439999997615814,62,98,118,112,1.8177000284195,0.0151000004261732,0.70589691400528,6.50758457183838,290.917297363281,24.1168994903564,74.8831024169922,37.117000579834,112,16.9720993041992,145.80595,-38.00922
"243","high reliability","Trap (unspecified)","place",14251.98134,"road",0.00879127,"Y","N","Y","Y","N",66.5999984741211,0.00219999998807907,29,11,42,18,1.53050005435944,0.00439999997615814,0.613024413585663,4.44213676452637,345.858306884766,-12.8815002441406,67.8815002441406,-2.88150000572205,4,16.1853008270264,141.4,-34.39167
"244","high reliability","Trap (unspecified)","place",18386.3972,"watercourse_channel",0.095486356,"Y","Y","Y","Y","N",75.8000030517578,0.0100999996066093,71,51,48,5,1.32829999923706,0.00609999988228083,0.289681136608124,3.41978716850281,334.497985839844,-8.4980001449585,64.6156997680664,4.5019998550415,5,16.7523002624512,142.00389,-35.44611
"245","high reliability","Bird transect","place",12849.51835,"road",0.093918335,"Y","N","Y","Y","N",49.4000015258789,0.0153999999165535,73,9,42,4,1.14779996871948,0.0156999994069338,0.738919198513031,6.3709602355957,346.239990234375,-14.1511001586914,70.1511001586914,-4.15110015869141,4,17.1075992584229,141.54106,-34.4959
"246","high reliability","Bird transect","place",12849.51835,"road",0.093918335,"Y","N","Y","Y","N",49.4000015258789,0.0153999999165535,73,9,42,4,1.14779996871948,0.0156999994069338,0.738919198513031,6.3709602355957,346.239990234375,-14.1511001586914,70.1511001586914,-4.15110015869141,4,17.1075992584229,141.54106,-34.4959
"247","high reliability","Bird transect","place",12849.51835,"road",0.093918335,"Y","N","Y","Y","N",49.4000015258789,0.0153999999165535,73,9,42,4,1.14779996871948,0.0156999994069338,0.738919198513031,6.3709602355957,346.239990234375,-14.1511001586914,70.1511001586914,-4.15110015869141,4,17.1075992584229,141.54106,-34.4959
"248","high reliability","Bird transect","place",12849.51835,"road",0.093918335,"Y","N","Y","Y","N",49.4000015258789,0.0153999999165535,73,9,42,4,1.14779996871948,0.0156999994069338,0.738919198513031,6.3709602355957,346.239990234375,-14.1511001586914,70.1511001586914,-4.15110015869141,4,17.1075992584229,141.54106,-34.4959
"249","high reliability","General observations","place",13908.96878,"road",0.005516951,"N","N","Y","Y","N",79.5999984741211,-0.0297999996691942,29,11,42,18,1.66110002994537,0.00529999984428287,0.637790381908417,4.4781928062439,345.123596191406,-13.1236000061035,68.1235961914063,-2.12360000610352,4,15.7680997848511,141.44585,-34.41331
"250","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289,141.44267,-34.42956
"251","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"252","low reliability","Timed bird census","airport",1302.877901,"watercourse_river",0.002298553,"Y","N","Y","Y","Y",86.1999969482422,-0.119000002741814,40,30,124,16,1.8967000246048,0.0599999986588955,1.38877809047699,7.59512090682983,286.373413085937,28.1765995025635,72.0970001220703,49.0863990783691,6,14.2306003570557,145.73796,-38.00284
"253","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"254","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"255","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"256","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"257","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289,141.44267,-34.42956
"258","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"259","high reliability","Birds Australia 500m area search","place",6553.492817,"watercourse_channel",0.026395234,"N","N","Y","N","N",71.8000030517578,-0.0015999999595806,56,46,37,18,1.40950000286102,0.0097000002861023,0.26778382062912,2.89910507202148,338.983184814453,-11.2489004135132,68.2381973266602,-0.216000005602837,4,16.3560009002686,141.81066,-35.113
"260","low reliability","Timed bird census","rail_station",7481.112314,"watercourse_stream",0.001492709,"Y","N","Y","Y","Y",71.1999969482422,0.151800006628037,62,98,124,19,1.81359994411469,0.0252999998629093,0.398248046636581,13.1876583099365,289.095886230469,21.4995994567871,78.5003967285156,44.1995010375977,106,15.3276996612549,145.58355,-38.01157
"261","low reliability","Timed bird census","rail_station",6699.670291,"watercourse_river",0.000190004,"Y","N","Y","Y","Y",189.199996948242,0.0351999998092651,62,98,124,16,2.25999999046326,0.0131999999284744,0.441216707229614,14.3065423965454,277.079315185547,34.7081985473633,68.972297668457,65.1031036376953,6,14.2427997589111,145.61398,-37.98102
"262","low reliability","Timed bird census","place",3472.883572,"road",0.0059751,"Y","N","Y","Y","Y",224,-0.408800005912781,62,98,124,6,2.32870006561279,0.023700000718236,0.523633301258087,9.60854816436768,284.032409667969,34.0264015197754,74.2099990844727,72.5837020874023,6,14.1104001998901,145.58469,-37.8592
"263","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"264","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"265","high reliability","Birds Australia 2ha search","place",35139.80729,"road",0.268728795,"Y","Y","Y","Y","N",35.7999992370605,-0.00549999997019768,56,46,37,104,0,0.00529999984428287,0.987990975379944,10.8857049942017,344.300201416016,-11.3001003265381,69.3001022338867,-2.29399991035461,104,15.8837003707886,141.83027,-34.63806
"266","high reliability","Incidental","place",14898.86415,"road",0.001045924,"Y","N","Y","N","N",69.1999969482422,0.00170000002253801,56,46,42,18,1.56239998340607,0.00889999978244305,0.666808784008026,5.22396612167358,344.536193847656,-12.335599899292,67.3356018066406,-2.33559989929199,4,16.3593006134033,141.397045,-34.399034
